emp_id|full name|fname|lname|birth_date|dept_name|country|monthly_salary|sex|job title|employee_status|education
100001|Omar Williams|Omar|Williams|09-Dec-2003|Safety|GB|EGP 7,312.25|Male|Safety Officer|External|BSc
100002|Reem Kamal|Reem|Kamal|1981/08/13| Accounting |PH|3876.75|FEMALE|Sales Executive|Terminated|MBA
EMP100003|Layla Johnson|Layla|Johnson|06-12-2002|Health & Safety|United Arab Emirates|7194.00|FEMALE|Business Analyst|CONT|high school
100004|Saad Khan|Saad|Khan|13-Jun-1990|Logistics|Pakistan|26509|Female|Safety Officer| Contractor |MBA
100005|Noora Miller|Noora|Miller|1977/05/22| Supply Chain | uk |18727|F|Sales Executive|Active|DIP
100006|MONA JONES|Mona|Jones|24/12/2003|SALES|PH|10,444| f |HR Specialist| Terminated |bachelor
100007|Martinez, Hamad|Hamad|Martinez|15/08/1967|Manufacturing|GB|24977|MALE|Business Analyst|Contractor|Master
100008|YOUSSEF NASSER|Youssef|Nasser|1996-12-08| Marketing |United States|QAR 41,626.25|MALE|Supply Chain Coordinator| Probation |master
100009|Mona Jones|Mona|Jones|10-17-1976|Health & Safety|Jordan|36943|Female|Sales Executive|ACT| High School 
100010|Al-Salem, Khalid|Khalid|Al-Salem|25/12/1977|sales| Pakistan |44980.5|Male|Business Analyst|active|DIP
100011|Layla Al-Thani|Layla|Al-Thani|1978-10-23|Manufacturing|Jordan|15950.00|Male|IT Support| Terminated |Doctorate
100012|Laila Williams|Laila|Williams|16/12/1995|SALES| uk |$3,562.25|FEMALE|Accountant|terminated|Diploma
100013|Nasser, Mona|Mona|Nasser|2000/08/17|Sales|PAK|41,376|1|Production Operator|Probation|Secondary
100014|Brown, David|David|Brown|10-Nov-1996|Sales Dept|UK|EGP 25,727.25|Male|Sales Executive|ACT|HS
100015|Hassan Al-Salem|Hassan|Al-Salem|09/11/1993|marketting|saudi arabia|38820.25|male|Business Analyst| Contractor |Secondary
100016|Abdullah Al-Farsi|Abdullah|Al-Farsi|21/01/1970|HR|Egypt|20690.75|2|Project Manager|A|phd
100017|Tamer Al-Thani|Tamer|Al-Thani|17-Jan-1982| Environmental |Jordan|36948|male|Supply Chain Coordinator|On Leave|PHD
100018|Mahmoud Johnson|Mahmoud|Johnson|1985/09/03|SALES|United States|44876.5|2|Project Manager|contractor|PhD
100019|Aya Patel|Aya|Patel|10/09/1991|Safety|pakistan|40,324|female|Supply Chain Coordinator|probation|BSc
100020|Aisha Brown|Aisha|Brown|1992-07-07|I.T.|Emirates|20834.25|male|Sales Executive|active| Master 
100021|Smith, Robert|Robert|Smith|20-Dec-1967|ops|PH|QAR 33,215.75|Female|Accountant|Active|phd
100022|ABDULLAH WILLIAMS|Abdullah|Williams|unknown| IT |United States of America|31305.75| f |Data Engineer|Active|bachelor
100023| Karim  Martinez |Karim|Martinez|03-15-1971|mktg|JO|$15,302.00|female|Environmental Engineer|ON_LEAVE|phd
100024|Youssef Martinez|Youssef|Martinez|30/10/1999| safety |SA|34541.50| m |Marketing Analyst|Probation|diploma
100025|James Kamal|James|Kamal|10-Jun-1978|Health & Safety|SA|13,350|Female|Environmental Engineer|Leave|MBA
EMP100026|Robert Nasser|Robert|Nasser|12/08/1977|ENV|United States|17132.25|M|IT Support|ACT|Doctorate
100027|Ahmed Johnson|Ahmed|Johnson|02-08-1992| Supply Chain |PK||F|IT Support|New Hire|BSc
100028|Mahmoud Williams|MAHMOUD|Williams|12/05/2002| HR |Saudi Arabia|30134.75|female|Production Operator|contractor|BA
100029|Ali Patel|Ali|Patel|26-Oct-1997|sales|Qatar|QAR 26,796.25|Female|IT Support| On Leave |DIP
100030|Hamad Moore|Hamad|Moore|1987/05/10| Supply Chain |Britain|16699.75|Female|Supply Chain Coordinator|TERM|BA
100031|Hassan Miller|Hassan|Miller|1985-05-25|Sales|Emirates|QAR 36,196.25|Male|HR Specialist| Terminated |MBA
100032|Aya Al-Mansoori|Aya|Al-Mansoori|01/02/1987|Prod|Philippines|EGP 23,256.50| f |Data Engineer|probation| PhD 
100033|MAHMOUD KAMAL|Mahmoud|Kamal|24-May-1972|human resources| Qatar |12,652|MALE|Production Operator|On Leave|high school
100034|Patel, Karim|Karim|Patel|1986/06/04|Sales Dept|EGY|21958.25|2|Data Engineer| Active |master
100035|Aisha Garcia|Aisha|Garcia|29/12/1995|Prod|india|15668.75| m |Accountant|New Hire|BSc
100036|James Moore|James|Moore|16-Feb-1985|HR|IND|36701.75| m |IT Support|Active|master
100037|Sara Wilson|Sara|Wilson|07-22-1989|mktg|QAT|44022.00|FEMALE|Environmental Engineer|on leave|Secondary
100038|Tamer Johnson|Tamer|Johnson|08-May-1970|IT|GB||female|IT Support|probation| Diploma 
